,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
0, 芦荟 , 统块 较广 ,安国,130.00,平,44.44%,44.44%,73.33%
1, 仙鹤草 , 统 较广 ,亳州,8.50,平,30.77%,30.77%,30.77%
2, 芦荟 , 统块 较广 ,亳州,100.00,平,25.00%,25.00%,72.41%
3, 射干 , 统片 河北 ,亳州,37.00,平,23.33%,32.14%,15.63%
4, 射干 , 统个 河北 ,亳州,30.00,平,20.00%,25.00%,20.00%
5, 北沙参 , 统货 内蒙 ,荷花池,35.00,慢,16.67%,16.67%,-2.78%
6, 射干 , 统片 河北 ,玉林,38.00,平,15.15%,26.67%,-9.52%
7, 枳实 , 统个 湖南 ,亳州,43.00,平,13.16%,13.16%,19.44%
8, 枳实 , 统个 江西 ,亳州,43.00,平,13.16%,13.16%,19.44%
9, 射干 , 统个 河北 ,玉林,35.00,平,12.90%,25.00%,-10.26%
10, 牵牛子 , 黑统 较广 ,安国,9.00,平,12.50%,12.50%,0.00%
11, 肉苁蓉 , 软个 新疆 ,玉林,45.00,平,12.50%,12.50%,-33.82%
12, 天花粉 , 统片 河北 ,亳州,28.00,平,12.00%,12.00%,21.74%
13, 苎麻根 , 投料货 ,玉林,9.50,平,11.76%,11.76%,11.76%
14, 射干 , 统个 河北 ,安国,30.00,平,11.11%,20.00%,20.00%
15, 黄精 , 统个 西南 ,安国,75.00,平,10.29%,19.05%,36.36%
16, 淡竹叶 , 统 较广 ,荷花池,11.00,慢,10.00%,10.00%,-8.33%
17, 丹参 , 统个 山东 ,安国,12.00,平,9.09%,9.09%,-7.69%
18, 北沙参 , 统条 河北 ,安国,18.50,平,8.82%,8.82%,-2.63%
19, 射干 , 统片 河北 ,安国,37.00,平,8.82%,19.35%,27.59%
20, 防风 , 籽播 河北 ,安国,13.00,平,8.33%,8.33%,8.33%
21, 穿山龙 , 统个 东北 ,玉林,14.00,平,7.69%,7.69%,7.69%
22, 丹参 , 统个 较广 ,荷花池,14.00,慢,7.69%,7.69%,-6.67%
23, 侧柏叶 , 统 较广 ,荷花池,4.30,慢,7.50%,7.50%,7.50%
24, 僵蚕 , 净白 四川 ,安国,145.00,平,7.41%,7.41%,-9.38%
25, 苍术 , 家种统个 .. ,安国,30.00,平,7.14%,7.14%,0.00%
26, 黄精 , 统个 西南 ,亳州,75.00,平,7.14%,7.14%,36.36%
27, 金钱草 , 小叶全草 .. ,亳州,17.00,平,6.25%,6.25%,47.83%
28, 儿茶 , 统 进口 ,安国,38.00,平,5.56%,5.56%,5.56%
29, 莱菔子 , 净货 甘肃 ,安国,9.50,平,5.56%,5.56%,-5.00%
30, 天花粉 , 统个 河北 ,安国,19.00,平,5.56%,5.56%,5.56%
31, 半夏 , 家统 河北 ,安国,42.00,平,5.00%,5.00%,0.00%
32, 西红花 , 二级 进口 ,玉林,11000.00,平,4.76%,4.76%,-4.35%
33, 海金沙 , 净统 江西 ,安国,115.00,平,4.55%,4.55%,-25.81%
34, 丹参 , 统个 山东 ,亳州,11.50,平,4.55%,4.55%,-11.54%
35, 龙骨 , 土龙骨 较.. ,玉林,250.00,缺,4.17%,4.17%,0.00%
36, 西红花 , 一级 进口 ,玉林,12500.00,平,4.17%,4.17%,-3.85%
37, 熟地黄 , 三四五混级.. ,亳州,13.00,平,4.00%,18.18%,13.04%
38, 延胡索 , 统个 陕西 ,亳州,85.00,平,3.66%,3.66%,-10.53%
39, 延胡索 , 统个 浙江 ,亳州,85.00,平,3.66%,3.66%,-15.00%
40, 延胡索 , 统个 陕西 ,玉林,87.00,平,3.57%,8.75%,-17.14%
41, 延胡索 , 统个 浙江 ,玉林,88.00,平,2.33%,7.32%,-18.52%
42, 黄连 , 鸡爪统 重.. ,安国,345.00,平,1.47%,1.47%,-9.21%
43, 薄荷 , 叶统 较广 ,安国,13.00,平,0.00%,0.00%,0.00%
44, 薄荷 , 全草统 较.. ,安国,5.00,平,0.00%,0.00%,-28.57%
45, 筋骨草 , 统片 较广 ,安国,18.00,平,0.00%,0.00%,0.00%
46, 槟榔 , 统片 进口 ,安国,14.00,平,0.00%,0.00%,0.00%
47, 鳖甲 , 统 较广 ,安国,84.00,平,0.00%,0.00%,-16.00%
48, 蓖麻子 , 统 较广 ,安国,7.00,平,0.00%,0.00%,-22.22%
49, 荜茇 , 统 进口 ,安国,60.00,平,0.00%,0.00%,5.26%
50, 半枝莲 , 二茬全草 .. ,安国,5.50,平,0.00%,0.00%,-21.43%
51, 半枝莲 , 头茬全草 .. ,安国,6.50,平,0.00%,-7.14%,-18.75%
52, 半边莲 , 家种 较广 ,安国,6.00,平,0.00%,0.00%,-50.00%
53, 板蓝根 , 统个 较广 ,安国,9.50,平,0.00%,0.00%,26.67%
54, 斑蝥 , 大个  西.. ,安国,480.00,平,0.00%,0.00%,-20.00%
55, 柏子仁 , 机选统货 .. ,安国,110.00,平,0.00%,0.00%,10.00%
56, 百合 , 统 湖南 ,安国,85.00,平,0.00%,0.00%,0.00%
57, 百部 , 统条 湖北 ,安国,24.00,平,0.00%,0.00%,-11.11%
58, 白芷 , 统个 四川 ,安国,14.00,平,0.00%,27.27%,7.69%
59, 白芷 , 统个 安徽 ,安国,8.00,平,0.00%,0.00%,-5.88%
60, 补骨脂 , 统 进口 ,安国,12.00,平,0.00%,0.00%,-14.29%
61, 薄荷脑 , 统 较广 ,安国,110.00,平,0.00%,0.00%,-8.33%
62, 薄荷 , 叶统 较广 ,安国,13.00,平,0.00%,0.00%,0.00%
63, 薄荷 , 全草统 较.. ,安国,5.00,平,0.00%,0.00%,-28.57%
64, 筋骨草 , 统片 较广 ,安国,18.00,平,0.00%,0.00%,0.00%
65, 槟榔 , 统片 进口 ,安国,14.00,平,0.00%,0.00%,0.00%
66, 鳖甲 , 统 较广 ,安国,84.00,平,0.00%,0.00%,-16.00%
67, 蓖麻子 , 统 较广 ,安国,7.00,平,0.00%,0.00%,-22.22%
68, 荜茇 , 统 进口 ,安国,60.00,平,0.00%,0.00%,5.26%
69, 半枝莲 , 二茬全草 .. ,安国,5.50,平,0.00%,0.00%,-21.43%
70, 半枝莲 , 头茬全草 .. ,安国,6.50,平,0.00%,-7.14%,-18.75%
71, 半边莲 , 家种 较广 ,安国,6.00,平,0.00%,0.00%,-50.00%
72, 板蓝根 , 统个 较广 ,安国,9.50,平,0.00%,0.00%,26.67%
73, 斑蝥 , 大个  西.. ,安国,480.00,平,0.00%,0.00%,-20.00%
74, 柏子仁 , 机选统货 .. ,安国,110.00,平,0.00%,0.00%,10.00%
75, 百合 , 统 湖南 ,安国,85.00,平,0.00%,0.00%,0.00%
76, 百部 , 统条 湖北 ,安国,24.00,平,0.00%,0.00%,-11.11%
77, 白芷 , 统个 四川 ,安国,14.00,平,0.00%,27.27%,7.69%
78, 白芷 , 统个 安徽 ,安国,8.00,平,0.00%,0.00%,-5.88%
79, 白芷 , 无硫统个 .. ,安国,6.50,平,0.00%,0.00%,8.33%
80, 豆蔻 , 统 进口 ,安国,48.00,平,0.00%,-4.00%,-4.00%
81, 连钱草 , 统 较广 ,安国,9.00,平,0.00%,0.00%,-10.00%
82, 白扁豆 , 统 进口 ,安国,8.00,平,0.00%,0.00%,-20.00%
83, 白扁豆 , 统 云南 ,安国,18.00,平,0.00%,0.00%,-10.00%
84, 巴戟天 , 小肉 广东 ,安国,70.00,平,0.00%,0.00%,-17.65%
85, 巴戟天 , 中肉 广东 ,安国,80.00,平,0.00%,0.00%,-15.79%
86, 人参 , 生晒80支.. ,安国,180.00,平,0.00%,0.00%,-21.74%
87, 人参 , 生晒45支.. ,安国,270.00,平,0.00%,0.00%,-6.90%
88, 预知子 , 统 湖北 ,安国,15.00,平,0.00%,0.00%,-21.05%
89, 八角茴香 , 大红 广西 ,安国,36.00,平,0.00%,0.00%,20.00%
