,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
90, 安息香 , 统块 进口 ,安国,180.00,平,0.00%,0.00%,20.00%
91, 人工牛黄 , 统 较广 ,安国,640.00,平,0.00%,0.00%,-11.11%
92, 艾叶 , 统 河南 ,安国,9.00,平,0.00%,0.00%,0.00%
93, 阿魏 , 统 进口 ,安国,550.00,平,0.00%,0.00%,-8.33%
94, 阿胶 , 胶块 福牌 ,安国,1100.00,平,0.00%,0.00%,-14.06%
95, 阿胶 , 胶块 东阿 ,安国,2540.00,平,0.00%,0.00%,-7.30%
96, 茺蔚子 , 统 较广 ,安国,23.00,平,0.00%,0.00%,-36.11%
97, 赤小豆 , 净 较广 ,安国,8.00,平,0.00%,0.00%,-11.11%
98, 赤石脂 , 统 较广 ,安国,2.80,平,0.00%,0.00%,0.00%
99, 赤芍 , 家种 教广 ,安国,28.00,平,0.00%,0.00%,0.00%
100, 铁皮石斛 , 统条 云南 ,安国,120.00,平,0.00%,0.00%,-40.00%
101, 厚朴 , 统皮 较广 ,安国,10.00,平,0.00%,0.00%,-23.08%
102, 胡黄连 , 统 西藏 ,安国,220.00,平,0.00%,0.00%,-8.33%
103, 亚麻子 , 统 较广 ,安国,7.00,平,0.00%,0.00%,-12.50%
104, 虎耳草 , 全草 较广 ,安国,24.00,滞,0.00%,0.00%,0.00%
105, 虎杖 , 统片 较广 ,安国,8.00,平,0.00%,0.00%,-5.88%
106, 琥珀 , 米统 云南 ,安国,60.00,平,0.00%,0.00%,-25.00%
107, 琥珀 , 统块 进口 ,安国,15.00,平,0.00%,0.00%,-25.00%
108, 桃枝 , 统 较广 ,安国,6.00,平,0.00%,0.00%,0.00%
109, 云芝 , 统 较广 ,安国,25.00,平,0.00%,0.00%,0.00%
110, 滑石 , 块 较广 ,安国,3.00,平,0.00%,0.00%,0.00%
111, 牛膝 , 统 河北 ,安国,11.00,平,0.00%,0.00%,-8.33%
112, 牛膝 , 0.4-0.. ,安国,17.50,平,0.00%,0.00%,0.00%
113, 木瓜 , 皱统 湖北 ,安国,10.00,平,0.00%,0.00%,-33.33%
114, 槐花 , 开花统 河.. ,安国,5.00,平,0.00%,0.00%,-16.67%
115, 槐花 , 花蕾统 河.. ,安国,12.00,平,0.00%,0.00%,-36.84%
116, 槐角 , 统 河北 ,安国,6.00,慢,0.00%,0.00%,-14.29%
117, 余甘子 , 肉统 云南 ,安国,15.00,平,0.00%,0.00%,0.00%
118, 黄柏 , 未刮皮统 .. ,安国,32.00,平,0.00%,0.00%,-13.51%
119, 黄柏 , 带皮丝 四.. ,安国,35.00,平,0.00%,0.00%,-12.50%
120, 狗鞭 , 中条 较广 ,安国,10.00,平,0.00%,0.00%,0.00%
121, 芥子 , 黄统 较广 ,安国,10.00,平,0.00%,0.00%,0.00%
122, 芥子 , 白统 较广 ,安国,17.00,平,0.00%,0.00%,0.00%
123, 老鹳草 , 统 较广 ,安国,3.00,平,0.00%,0.00%,0.00%
124, 雷公藤 , 统片 湖北 ,安国,8.00,慢,0.00%,0.00%,0.00%
125, 荔枝核 , 统 两广 ,安国,8.00,平,0.00%,0.00%,0.00%
126, 连翘 , 青翘水煮统.. ,安国,43.00,平,0.00%,0.00%,-28.33%
127, 连翘 , 青翘无柄包.. ,安国,53.00,平,0.00%,0.00%,0.00%
128, 莲须 , 统 湖南 ,安国,80.00,平,0.00%,0.00%,-27.27%
129, 莲子心 , 统 湖南 ,安国,55.00,平,0.00%,0.00%,-35.29%
130, 凉粉草 , 统 广西 ,安国,10.00,平,0.00%,0.00%,0.00%
131, 两面针 , 双面混装 .. ,安国,25.00,平,0.00%,0.00%,0.00%
132, 细辛 , 净根 辽宁 ,安国,270.00,平,0.00%,3.85%,-12.90%
133, 了哥王 , 统 广东 ,安国,15.00,平,0.00%,0.00%,0.00%
134, 灵香草 , 统货 云南 ,安国,38.00,平,0.00%,0.00%,0.00%
135, 灵芝 , 家种统个 .. ,安国,27.00,平,0.00%,0.00%,8.00%
136, 青风藤 , 统片 较广 ,安国,6.00,平,0.00%,0.00%,0.00%
137, 凌霄花 , 统 江苏 ,安国,38.00,平,0.00%,0.00%,-15.56%
138, 北刘寄奴 , 统片 较广 ,安国,17.00,平,0.00%,-2.86%,13.33%
139, 神曲 , 箱装 四川 ,安国,15.00,平,0.00%,0.00%,0.00%
140, 龙胆 , 北统 辽宁 ,安国,65.00,平,0.00%,0.00%,-27.78%
141, 胡芦巴 , 统 进口 ,安国,6.00,平,0.00%,0.00%,-33.33%
142, 芦根 , 统 河北 ,安国,9.00,平,0.00%,0.00%,0.00%
143, 炉甘石 , 统块 广西 ,安国,45.00,平,0.00%,0.00%,0.00%
144, 鹿角胶 , 老君堂 河.. ,安国,1030.00,平,0.00%,0.00%,3.00%
145, 鹿角霜 , 统 东北 ,安国,105.00,平,0.00%,5.00%,5.00%
146, 鹿衔草 , 统货 东北 ,安国,20.00,平,0.00%,0.00%,-9.09%
147, 路路通 , 去刺统 较.. ,安国,6.00,平,0.00%,9.09%,0.00%
148, 路路通 , 带刺统 较.. ,安国,4.00,平,0.00%,0.00%,-11.11%
149, 梅花 , 统 较广 ,安国,160.00,平,0.00%,0.00%,-20.00%
150, 罗布麻叶 , 统 河北 ,安国,11.00,平,0.00%,0.00%,-8.33%
151, 罗汉果 , 大个 广西 ,安国,1.00,平,0.00%,0.00%,0.00%
152, 罗汉果 , 中个 广西 ,安国,0.70,平,0.00%,0.00%,0.00%
153, 罗汉果 , 小个 广西 ,安国,0.50,平,0.00%,0.00%,11.11%
154, 络石藤 , 统 较广 ,安国,6.00,平,0.00%,0.00%,0.00%
155, 麻黄 , 统片 内蒙 ,安国,23.00,平,0.00%,0.00%,0.00%
156, 麻黄根 , 统个 内蒙 ,安国,30.00,平,0.00%,0.00%,20.00%
157, 马勃 , 统个 东北 ,安国,60.00,平,0.00%,0.00%,-14.29%
158, 鹿茸 , 花二杠一等.. ,安国,8000.00,平,0.00%,0.00%,-5.88%
159, 鹿茸 , 花二杠二等.. ,安国,7000.00,平,0.00%,0.00%,-6.67%
160, 鹿茸 , 马鹿茸一等.. ,安国,2500.00,平,0.00%,0.00%,-7.41%
161, 蚂蚁 , 黑小统 较.. ,安国,115.00,平,0.00%,0.00%,0.00%
162, 麦冬 , 统 湖北 ,安国,60.00,平,0.00%,-36.84%,-29.41%
163, 麦芽 , 生统 较广 ,安国,4.00,平,0.00%,0.00%,-11.11%
164, 蔓荆子 , 统 江西 ,安国,60.00,平,0.00%,0.00%,-40.00%
165, 芒硝 , 统货 较广 ,安国,1.80,平,0.00%,0.00%,0.00%
166, 猫爪草 , 家统 河南 ,安国,40.00,平,0.00%,0.00%,-95.79%
167, 知母 , 家种统片 .. ,安国,15.00,平,0.00%,0.00%,-31.82%
168, 没食子 , 统 进口 ,安国,60.00,平,0.00%,0.00%,0.00%
169, 没药 , 统 进口 ,安国,27.00,平,0.00%,-10.00%,-10.00%
170, 玫瑰花 , 无硫统 山.. ,安国,100.00,平,0.00%,-4.76%,72.41%
171, 虻虫 , 大统 较广 ,安国,1400.00,平,0.00%,0.00%,-17.65%
172, 密蒙花 , 统 四川 ,安国,18.00,平,0.00%,0.00%,-18.18%
173, 牡丹皮 , 刮丹统 安.. ,安国,90.00,平,0.00%,0.00%,0.00%
174, 牡蛎 , 统个 较广 ,安国,2.00,平,0.00%,0.00%,0.00%
175, 木鳖子 , 统 广西 ,安国,22.00,平,0.00%,0.00%,-4.35%
176, 木蝴蝶 , 统 进口 ,安国,43.00,平,0.00%,0.00%,-10.42%
177, 煅石膏 , 统 较广 ,安国,5.00,平,0.00%,0.00%,0.00%
178, 南沙参 , 未刮皮统 .. ,安国,70.00,平,0.00%,0.00%,2.94%
179, 牛蒡子 , 统 甘肃 ,安国,11.00,平,0.00%,0.00%,-26.67%
180, 牛黄 , 天然胆黄 .. ,安国,500000.00,平,0.00%,-16.67%,-70.59%
181, 女贞子 , 鸡腰形 西.. ,安国,2.70,平,0.00%,-3.57%,-3.57%
182, 糯稻根 , 水洗片 较.. ,安国,18.00,平,0.00%,0.00%,-25.00%
183, 藕节 , 统个 较广 ,安国,13.00,平,0.00%,0.00%,0.00%
184, 胖大海 , 长果 进口 ,安国,230.00,平,0.00%,0.00%,0.00%
185, 胖大海 , 圆果 进口 ,安国,140.00,平,0.00%,0.00%,7.69%
186, 佩兰 , 统 较广 ,安国,4.00,平,0.00%,0.00%,-20.00%
187, 硼砂 , 统块 较广 ,安国,6.00,平,0.00%,0.00%,0.00%
188, 枇杷叶 , 青统 较广 ,安国,4.50,慢,0.00%,0.00%,-10.00%
189, 枇杷叶 , 黄统 较广 ,安国,3.50,慢,0.00%,0.00%,-12.50%
190, 平贝母 , 无硫大粒 .. ,安国,65.00,平,0.00%,0.00%,-35.00%
191, 平贝母 , 小粒 吉林 ,安国,90.00,平,0.00%,0.00%,-35.71%
192, 矮地茶 , 统片 较广 ,安国,10.00,平,0.00%,0.00%,0.00%
193, 蒲公英 , 野生全草 .. ,安国,6.50,平,0.00%,0.00%,-23.53%
194, 蒲公英 , 家种全草 .. ,安国,4.50,平,0.00%,0.00%,-25.00%
195, 蜜蜂房 , 统 较广 ,安国,600.00,平,0.00%,0.00%,-14.29%
196, 蒲黄 , 粗粉 较广 ,安国,30.00,平,0.00%,0.00%,-45.45%
197, 蕲蛇 , 净 江西 ,安国,1500.00,平,0.00%,0.00%,-14.29%
198, 千金子 , 统 河南 ,安国,15.00,平,0.00%,0.00%,0.00%
199, 千年健 , 统片 进口 ,安国,27.00,平,0.00%,0.00%,-18.18%
200, 草豆蔻 , 统 海南 ,安国,42.00,平,0.00%,0.00%,-19.23%
201, 草果 , 带柄统 云.. ,安国,45.00,平,0.00%,0.00%,-3.23%
202, 拳参 , 统个 甘肃 ,安国,30.00,平,0.00%,0.00%,0.00%
203, 决明子 , 统 河南 ,安国,6.00,平,0.00%,0.00%,-25.00%
204, 决明子 , 统 进口 ,安国,3.00,平,0.00%,0.00%,-25.00%
205, 草乌 , 统 东北 ,安国,80.00,平,0.00%,0.00%,-5.88%
206, 侧柏叶 , 统 较广 ,安国,3.50,平,0.00%,0.00%,16.67%
207, 柴胡 , 药厂货 山.. ,安国,65.00,平,0.00%,0.00%,-27.78%
208, 蝉蜕 , 沙地 较广 ,安国,700.00,平,0.00%,0.00%,-17.65%
209, 蝉蜕 , 水洗 较广 ,安国,900.00,平,0.00%,0.00%,-18.18%
210, 车前子 , 净货 江西 ,安国,21.00,平,0.00%,0.00%,-8.70%
211, 沉香 , 统 国产 ,安国,240.00,慢,0.00%,0.00%,9.09%
212, 朱砂 , 天然 ,安国,1500.00,平,0.00%,-11.76%,-11.76%
213, 朱砂 , 水飞 湖南 ,安国,1300.00,平,0.00%,-7.14%,0.00%
214, 陈皮 , 统个 较广 ,安国,7.50,平,0.00%,0.00%,-11.76%
215, 陈皮 , 统丝 较广 ,安国,8.50,平,0.00%,0.00%,-19.05%
216, 赤芍 , 野生 内蒙 ,安国,43.00,平,0.00%,0.00%,-17.31%
217, 赤芍 , 家种 教广 ,安国,28.00,平,0.00%,0.00%,0.00%
218, 赤石脂 , 统 较广 ,安国,2.80,平,0.00%,0.00%,0.00%
219, 赤小豆 , 净 较广 ,安国,8.00,平,0.00%,0.00%,-11.11%
220, 茺蔚子 , 统 较广 ,安国,23.00,平,0.00%,0.00%,-36.11%
221, 荜茇 , 统 进口 ,安国,60.00,平,0.00%,0.00%,5.26%
222, 蓖麻子 , 统 较广 ,安国,7.00,平,0.00%,0.00%,-22.22%
223, 鳖甲 , 统 较广 ,安国,84.00,平,0.00%,0.00%,-16.00%
224, 槟榔 , 统片 进口 ,安国,14.00,平,0.00%,0.00%,0.00%
225, 筋骨草 , 统片 较广 ,安国,18.00,平,0.00%,0.00%,0.00%
226, 薄荷 , 全草统 较.. ,安国,5.00,平,0.00%,0.00%,-28.57%
227, 薄荷 , 叶统 较广 ,安国,13.00,平,0.00%,0.00%,0.00%
228, 薄荷脑 , 统 较广 ,安国,110.00,平,0.00%,0.00%,-8.33%
229, 补骨脂 , 统 进口 ,安国,12.00,平,0.00%,0.00%,-14.29%
230, 波叶紫金牛 , 统段 ,安国,12.00,平,0.00%,0.00%,0.00%
231, 蚕沙 , 统 较广 ,安国,6.00,平,0.00%,0.00%,-7.69%
232, 苍耳子 , 去刺统 内.. ,安国,11.00,平,0.00%,0.00%,-12.00%
233, 苍术 , 光统个 内.. ,安国,100.00,平,0.00%,0.00%,-20.00%
234, 冬虫夏草 , 2000条.. ,安国,155000.00,平,0.00%,0.00%,-24.39%
235, 冬虫夏草 , 4000条.. ,安国,90000.00,平,0.00%,0.00%,-25.00%
236, 花椒 , 统 陕西 ,安国,45.00,平,0.00%,0.00%,9.76%
237, 川楝子 , 统个 云南 ,安国,3.80,平,0.00%,0.00%,0.00%
238, 川牛膝 , 统个 四川 ,安国,15.00,平,0.00%,0.00%,-21.05%
239, 川贝母 , 松统 四川 ,安国,4000.00,平,0.00%,0.00%,-16.67%
240, 川贝母 , 炉贝 四川 ,安国,2800.00,平,0.00%,0.00%,-26.32%
241, 川乌 , 统 较广 ,安国,50.00,平,0.00%,0.00%,-50.00%
242, 川芎 , 炕统个 四.. ,安国,14.50,平,0.00%,0.00%,-19.44%
243, 川芎 , 统片 四川 ,安国,16.50,平,0.00%,0.00%,-17.50%
244, 穿山龙 , 统个 东北 ,安国,13.50,平,0.00%,0.00%,3.85%
245, 穿心莲 , 全草 广西 ,安国,6.50,平,0.00%,0.00%,-18.75%
246, 阿胶 , 胶块 东阿 ,安国,2540.00,平,0.00%,0.00%,-7.30%
247, 阿胶 , 胶块 福牌 ,安国,1100.00,平,0.00%,0.00%,-14.06%
248, 阿魏 , 统 进口 ,安国,550.00,平,0.00%,0.00%,-8.33%
249, 艾叶 , 统 河南 ,安国,9.00,平,0.00%,0.00%,0.00%
250, 人工牛黄 , 统 较广 ,安国,640.00,平,0.00%,0.00%,-11.11%
251, 安息香 , 统块 进口 ,安国,180.00,平,0.00%,0.00%,20.00%
252, 八角茴香 , 大红 广西 ,安国,36.00,平,0.00%,0.00%,20.00%
253, 预知子 , 统 湖北 ,安国,15.00,平,0.00%,0.00%,-21.05%
254, 人参 , 生晒45支.. ,安国,270.00,平,0.00%,0.00%,-6.90%
255, 人参 , 生晒80支.. ,安国,180.00,平,0.00%,0.00%,-21.74%
256, 巴戟天 , 中肉 广东 ,安国,80.00,平,0.00%,0.00%,-15.79%
257, 巴戟天 , 小肉 广东 ,安国,70.00,平,0.00%,0.00%,-17.65%
258, 白扁豆 , 统 云南 ,安国,18.00,平,0.00%,0.00%,-10.00%
259, 白扁豆 , 统 进口 ,安国,8.00,平,0.00%,0.00%,-20.00%
260, 连钱草 , 统 较广 ,安国,9.00,平,0.00%,0.00%,-10.00%
261, 豆蔻 , 统 进口 ,安国,48.00,平,0.00%,-4.00%,-4.00%
262, 附子 , 清水白附片.. ,安国,70.00,平,0.00%,0.00%,-36.36%
263, 附子 , 清水黑顺片.. ,安国,41.00,平,0.00%,0.00%,-25.45%
264, 白果 , 统 较广 ,安国,6.00,平,0.00%,0.00%,0.00%
265, 白果 , 统仁 较广 ,安国,10.00,平,0.00%,0.00%,0.00%
266, 胡椒 , 统白椒 海.. ,安国,70.00,平,0.00%,0.00%,-4.11%
267, 胡椒 , 统黑椒 进.. ,安国,42.00,平,0.00%,-4.55%,-14.29%
268, 胡椒 , 统白椒 进.. ,安国,67.00,平,0.00%,0.00%,-2.90%
269, 金钱白花蛇 , 统条 江西 ,安国,42.00,平,0.00%,0.00%,-35.38%
270, 白花蛇舌草 , 野生全草 .. ,安国,7.00,平,0.00%,0.00%,-6.67%
271, 白花蛇舌草 , 家种全草 .. ,安国,7.00,平,0.00%,0.00%,-6.67%
272, 白及 , 统个 西南 ,安国,50.00,平,0.00%,0.00%,-58.33%
273, 蒺藜 , 撞刺 较广 ,安国,37.00,平,0.00%,0.00%,-7.50%
274, 莲子 , 空心白统个.. ,安国,39.00,平,0.00%,0.00%,-4.88%
275, 白蔹 , 统 湖北 ,安国,35.00,平,0.00%,0.00%,-30.00%
276, 龙齿 , 白统 较广 ,安国,550.00,平,0.00%,0.00%,-5.17%
277, 白茅根 , 统咀 较广 ,安国,9.00,平,0.00%,0.00%,-10.00%
278, 白茅根 , 统货 较广 ,安国,9.00,平,0.00%,0.00%,-10.00%
279, 白前 , 家种统 湖.. ,安国,15.00,平,0.00%,0.00%,-16.67%
280, 白芍 , 三四级 安.. ,安国,50.00,平,0.00%,0.00%,0.00%
281, 白石英 , 统 较广 ,安国,4.00,平,0.00%,0.00%,0.00%
282, 白术 , 统个 安徽 ,安国,19.00,平,0.00%,0.00%,-74.67%
283, 白术 , 统个 河北 ,安国,10.00,平,0.00%,0.00%,-75.00%
284, 白头翁 , 统根 东北 ,安国,55.00,平,0.00%,0.00%,-21.43%
285, 白薇 , 野生统个 .. ,安国,25.00,平,0.00%,0.00%,0.00%
286, 白鲜皮 , 抽芯80-.. ,安国,130.00,平,0.00%,0.00%,-10.34%
287, 白鲜皮 , 抽芯90%.. ,安国,140.00,平,0.00%,0.00%,0.00%
288, 白芷 , 无硫统个 .. ,安国,6.50,平,0.00%,0.00%,8.33%
289, 白芷 , 统个 安徽 ,安国,8.00,平,0.00%,0.00%,-5.88%
290, 白芷 , 统个 四川 ,安国,14.00,平,0.00%,27.27%,7.69%
291, 百部 , 统条 湖北 ,安国,24.00,平,0.00%,0.00%,-11.11%
292, 百合 , 统 湖南 ,安国,85.00,平,0.00%,0.00%,0.00%
293, 柏子仁 , 机选统货 .. ,安国,110.00,平,0.00%,0.00%,10.00%
294, 斑蝥 , 大个  西.. ,安国,480.00,平,0.00%,0.00%,-20.00%
295, 板蓝根 , 统个 较广 ,安国,9.50,平,0.00%,0.00%,26.67%
296, 半边莲 , 家种 较广 ,安国,6.00,平,0.00%,0.00%,-50.00%
297, 半枝莲 , 头茬全草 .. ,安国,6.50,平,0.00%,-7.14%,-18.75%
298, 半枝莲 , 二茬全草 .. ,安国,5.50,平,0.00%,0.00%,-21.43%
299, 防风 , 野统 内蒙 ,安国,210.00,平,0.00%,0.00%,0.00%
300, 防己 , 粉统个 江.. ,安国,140.00,平,0.00%,0.00%,0.00%
301, 枫荷梨 , 统片 广西 ,安国,7.00,滞,0.00%,0.00%,0.00%
302, 佛手 , 统片 广东 ,安国,50.00,平,0.00%,0.00%,-9.09%
303, 佛手 , 统片 四川 ,安国,30.00,平,0.00%,0.00%,-33.33%
304, 茯苓 , 统丁 安徽 ,安国,19.00,平,0.00%,0.00%,-13.64%
305, 茯苓 , 中心丁 安.. ,安国,25.00,平,0.00%,0.00%,-7.41%
306, 茯神 , 统片 湖南 ,安国,30.00,平,0.00%,0.00%,0.00%
307, 覆盆子 , 统 浙江 ,安国,86.00,平,0.00%,1.18%,-18.10%
308, 干姜 , 粉统片 云.. ,安国,15.50,平,0.00%,0.00%,-22.50%
309, 干姜 , 柴统片 山.. ,安国,9.00,平,0.00%,0.00%,-10.00%
310, 干漆 , 统 较广 ,安国,75.00,慢,0.00%,0.00%,0.00%
311, 甘草 , 35丁 较.. ,安国,7.00,平,0.00%,0.00%,-41.67%
312, 甘松 , 全颗 四川 ,安国,56.00,平,0.00%,0.00%,0.00%
313, 菝葜 , 统片 安徽 ,安国,6.00,平,0.00%,0.00%,0.00%
314, 甘遂 , 统 山西 ,安国,65.00,平,0.00%,0.00%,-40.91%
315, 青果 , 统 较广 ,安国,15.00,慢,0.00%,0.00%,0.00%
316, 高良姜 , 统个 广东 ,安国,15.00,平,0.00%,0.00%,7.14%
317, 藁本 , 家统个 东.. ,安国,37.00,平,0.00%,0.00%,-26.00%
318, 葛根 , 柴统块 较.. ,安国,10.00,平,0.00%,0.00%,0.00%
319, 葛花 , 小花 广西 ,安国,18.00,平,0.00%,0.00%,-18.18%
