,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
71, 紫草 , 软统 新疆 ,亳州,550.00,平,0.00%,0.00%,0.00%
72, 紫苏叶 , 统货 两广 ,亳州,12.00,平,0.00%,0.00%,-20.00%
73, 紫菀 , 水洗个 安.. ,亳州,10.00,缺,0.00%,0.00%,-9.09%
74, 紫菀 , 水洗片 安.. ,亳州,15.00,平,0.00%,0.00%,36.36%
75, 五味子 , 统 辽宁 ,亳州,32.00,平,0.00%,0.00%,-33.33%
76, 三棱 , 统片 浙江 ,亳州,11.00,平,0.00%,0.00%,-29.03%
77, 五倍子 , 花倍 较广 ,亳州,65.00,平,0.00%,0.00%,44.44%
78, 伸筋草 , 全草 较广 ,玉林,10.00,平,0.00%,0.00%,0.00%
79, 升麻 , 统个 东北 ,玉林,75.00,平,0.00%,0.00%,-21.05%
80, 地黄 , 三四五混级.. ,玉林,12.00,平,0.00%,9.09%,0.00%
81, 功劳木 , 统片 西南 ,玉林,4.50,平,0.00%,0.00%,0.00%
82, 十大功劳叶 , 统 较广 ,玉林,13.00,平,0.00%,0.00%,0.00%
83, 石菖蒲 , 统个 贵州 ,玉林,60.00,平,0.00%,0.00%,-22.08%
84, 石膏 , 统 较广 ,玉林,3.00,平,0.00%,0.00%,0.00%
85, 石斛 , 黄草统条 .. ,玉林,58.00,平,0.00%,16.00%,34.88%
86, 石决明 , 大个 福建 ,玉林,15.00,平,0.00%,0.00%,0.00%
87, 石榴皮 , 统 较广 ,玉林,6.00,平,0.00%,0.00%,20.00%
88, 石楠藤 , 统 较广 ,玉林,10.00,平,0.00%,0.00%,0.00%
89, 石上柏 , 统 西南 ,玉林,10.00,缺,0.00%,0.00%,0.00%
90, 石韦 , 小叶 较广 ,玉林,17.00,平,0.00%,0.00%,0.00%
91, 使君子 , 带壳统 重.. ,玉林,16.00,缺,0.00%,0.00%,-36.00%
92, 熟地黄 , 三四五混级.. ,玉林,13.00,平,0.00%,8.33%,0.00%
93, 水半夏 , 生统 江西 ,玉林,13.00,平,0.00%,0.00%,0.00%
94, 水翁花 , 统 广西 ,玉林,23.00,慢,0.00%,0.00%,-43.90%
95, 水栀 , 统 广西 ,玉林,27.00,平,0.00%,0.00%,-44.90%
96, 水蛭 , 清水统 较.. ,玉林,550.00,慢,0.00%,0.00%,-31.25%
97, 丝瓜络 , 丝 较广 ,玉林,40.00,平,0.00%,0.00%,-11.11%
98, 松花粉 , 统 较广 ,玉林,55.00,缺,0.00%,0.00%,10.00%
99, 苏木 , 统 进口 ,玉林,12.00,平,0.00%,0.00%,-7.69%
100, 紫苏子 , 统 河南 ,玉林,18.00,平,0.00%,0.00%,0.00%
101, 素馨花 , 统 广东 ,玉林,1000.00,平,0.00%,0.00%,8.70%
102, 酸枣仁 , 98货 河.. ,玉林,450.00,平,0.00%,0.00%,-18.18%
103, 酸枣仁 , 统 进口 ,玉林,58.00,平,0.00%,0.00%,-32.56%
104, 锁阳 , 统个 较广 ,玉林,45.00,平,0.00%,0.00%,-59.09%
105, 太子参 , 统 福建 ,玉林,46.00,缺,0.00%,0.00%,9.52%
106, 太子参 , 统 贵州 ,玉林,47.00,平,0.00%,0.00%,6.82%
107, 檀香 , 药用统 进.. ,玉林,220.00,平,0.00%,0.00%,0.00%
108, 桃仁 , 家统 较广 ,玉林,42.00,平,0.00%,0.00%,0.00%
109, 桃仁 , 山统 较广 ,玉林,40.00,平,0.00%,0.00%,0.00%
110, 天冬 , 家统个 广.. ,玉林,40.00,平,0.00%,0.00%,-33.33%
111, 天花粉 , 统片 河北 ,玉林,28.00,平,0.00%,0.00%,12.00%
112, 天葵子 , 统 较广 ,玉林,85.00,平,0.00%,0.00%,-22.73%
113, 壁虎 , 统 较广 ,玉林,2500.00,平,0.00%,0.00%,-7.41%
114, 天麻 , 家混等 较.. ,玉林,150.00,平,0.00%,0.00%,-11.76%
115, 天麻 , 统片 较广 ,玉林,143.00,平,0.00%,-1.38%,-20.56%
116, 天南星 , 大粒 河北 ,玉林,35.00,平,0.00%,0.00%,-16.67%
117, 天仙子 , 南 进口 ,玉林,21.00,平,0.00%,0.00%,5.00%
118, 天竺黄 , 统 天然进.. ,玉林,380.00,平,0.00%,0.00%,-5.00%
