,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
0, 忍冬藤 , 统片 较广 ,安国,3.50,平,0.00%,0.00%,0.00%
1, 肉苁蓉 , 软个 新疆 ,安国,40.00,平,0.00%,14.29%,-27.27%
2, 肉苁蓉 , 硬个 新疆 ,安国,17.00,平,0.00%,13.33%,-26.09%
3, 肉豆蔻 , 统 进口 ,安国,55.00,平,0.00%,0.00%,0.00%
4, 独活 , 肉统 湖北 ,安国,16.00,平,0.00%,0.00%,14.29%
5, 葎草 , 统片 较广 ,安国,5.50,平,0.00%,0.00%,0.00%
6, 三七 , 20头春七.. ,安国,185.00,平,0.00%,0.00%,-7.50%
7, 三七 , 40头春七.. ,安国,130.00,平,0.00%,0.00%,-18.75%
8, 三七 , 60头春七.. ,安国,120.00,平,0.00%,0.00%,-17.24%
9, 三七 , 80头春七.. ,安国,115.00,平,0.00%,0.00%,-17.86%
10, 三七 , 120头春.. ,安国,110.00,平,0.00%,0.00%,-15.38%
11, 紫贝齿 , 统 较广 ,安国,25.00,平,0.00%,0.00%,0.00%
12, 桑白皮 , 刮皮统个 .. ,安国,23.00,平,0.00%,0.00%,-34.29%
13, 桑寄生 , 统片 广西 ,安国,6.00,缺,0.00%,0.00%,-7.69%
14, 桑寄生 , 统片 东北 ,安国,17.00,平,0.00%,0.00%,-10.53%
15, 桑螵蛸 , 熟大绵 东.. ,安国,750.00,平,0.00%,7.14%,-11.76%
16, 桑螵蛸 , 生大绵 东.. ,安国,440.00,平,0.00%,25.71%,4.76%
17, 桑叶 , 青统 较广 ,安国,4.50,平,0.00%,0.00%,-10.00%
18, 桑枝 , 统片 较广 ,安国,3.00,平,0.00%,0.00%,-18.92%
19, 沙苑子 , 统 陕西 ,安国,45.00,平,0.00%,0.00%,0.00%
20, 砂仁 , 壳砂统 国.. ,安国,120.00,平,0.00%,0.00%,-33.33%
21, 砂仁 , 壳砂统 进.. ,安国,28.00,平,0.00%,0.00%,-28.21%
22, 山慈菇 , 统 西南 ,安国,300.00,平,0.00%,0.00%,7.14%
23, 金礞石 , 统块 河南 ,安国,3.00,平,0.00%,0.00%,0.00%
24, 山海螺 , 统 广西 ,安国,60.00,平,0.00%,0.00%,-7.69%
25, 山柰 , 统 进口 ,安国,74.00,平,0.00%,0.00%,34.55%
26, 山楂 , 手工统片 .. ,安国,10.50,平,0.00%,0.00%,5.00%
27, 山楂 , 机切统片 .. ,安国,7.50,平,0.00%,0.00%,-6.25%
28, 黄瓜子 , 统 较广 ,安国,45.00,平,0.00%,0.00%,-35.71%
29, 栀子 , 统 江西 ,安国,22.00,平,0.00%,0.00%,-60.00%
30, 栀子 , 统个 福建 ,安国,20.00,平,0.00%,0.00%,-58.33%
31, 山茱萸 , 新统货 陕.. ,安国,45.00,平,0.00%,0.00%,-25.00%
32, 商陆 , 统 片 较.. ,安国,7.00,平,0.00%,0.00%,0.00%
33, 蛇床子 , 统 较广 ,安国,14.00,平,0.00%,0.00%,-44.00%
34, 天南星 , 大粒 河北 ,安国,27.00,平,0.00%,0.00%,-28.95%
35, 天仙子 , 北 较广 ,安国,50.00,平,0.00%,0.00%,0.00%
36, 天竺黄 , 统 天然进.. ,安国,330.00,平,0.00%,0.00%,0.00%
37, 田基黄 , 统 较广 ,安国,23.00,平,0.00%,9.52%,9.52%
