,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
0, 半枝莲 , 头茬全草 .. ,亳州,6.50,平,0.00%,-7.14%,-13.33%
1, 半枝莲 , 二茬全草 .. ,亳州,5.20,平,0.00%,-5.45%,-20.00%
2, 北沙参 , 统货 河北 ,亳州,20.00,平,0.00%,17.65%,-20.00%
3, 荜茇 , 统 进口 ,亳州,58.00,平,0.00%,0.00%,3.57%
4, 蓖麻子 , 统 较广 ,亳州,7.00,平,0.00%,0.00%,-22.22%
5, 滑石粉 , 粉 较广 ,亳州,2.30,平,0.00%,0.00%,15.00%
6, 鳖甲 , 统 较广 ,亳州,82.00,平,0.00%,0.00%,-18.00%
7, 槟榔 , 统片 进口 ,亳州,16.00,平,0.00%,0.00%,0.00%
8, 冰片 , 统 铜陵 ,亳州,95.00,平,0.00%,0.00%,-13.64%
9, 薄荷 , 全草统 较.. ,亳州,6.00,平,0.00%,0.00%,-14.29%
10, 薄荷 , 叶统 较广 ,亳州,15.00,平,0.00%,0.00%,0.00%
11, 薄荷脑 , 统 较广 ,亳州,95.00,平,0.00%,0.00%,-13.64%
12, 蚕沙 , 统 较广 ,亳州,4.50,平,0.00%,0.00%,0.00%
13, 苍耳子 , 去刺统 内.. ,亳州,12.00,平,0.00%,0.00%,-20.00%
14, 苍术 , 光统个 较.. ,亳州,105.00,缺,0.00%,0.00%,-25.00%
15, 苍术 , 半撞皮个 .. ,亳州,85.00,缺,0.00%,0.00%,-29.17%
16, 苍术 , 家种朱砂点.. ,亳州,28.00,平,0.00%,0.00%,0.00%
17, 山麦冬 , 统 山东 ,亳州,95.00,缺,0.00%,-13.64%,-5.00%
18, 草豆蔻 , 统 海南 ,亳州,42.00,平,0.00%,0.00%,-16.00%
19, 草果 , 统货 云南 ,亳州,45.00,平,0.00%,0.00%,-5.26%
20, 草果 , 选货 云南 ,亳州,48.00,平,0.00%,0.00%,-7.69%
21, 拳参 , 统个 甘肃 ,亳州,30.00,平,0.00%,0.00%,0.00%
22, 决明子 , 统 国产 ,亳州,7.00,平,0.00%,0.00%,-12.50%
23, 决明子 , 统 进口 ,亳州,3.00,平,0.00%,0.00%,0.00%
24, 侧柏叶 , 统 较广 ,亳州,3.50,平,0.00%,0.00%,0.00%
25, 柴胡 , 统根 甘肃 ,亳州,70.00,平,0.00%,0.00%,-30.00%
26, 柴胡 , 统根 山西 ,亳州,80.00,平,0.00%,0.00%,-20.00%
27, 蕤仁 , 统 陕西 ,亳州,12.00,平,0.00%,0.00%,-50.00%
28, 蝉蜕 , 统 较广 ,亳州,650.00,平,0.00%,8.33%,-23.53%
29, 蝉蜕 , 水洗 较广 ,亳州,900.00,平,0.00%,2.27%,-25.00%
30, 常山 , 土常山 较.. ,亳州,4.00,平,0.00%,0.00%,0.00%
31, 车前子 , 净货 江西 ,亳州,20.50,平,0.00%,0.00%,-10.87%
32, 沉香 , 统 进口 ,亳州,180.00,平,0.00%,0.00%,0.00%
33, 朱砂 , 天然 ,亳州,1500.00,平,0.00%,7.14%,7.14%
34, 朱砂 , 水飞 湖南 ,亳州,1450.00,平,0.00%,11.54%,11.54%
35, 陈皮 , 统个 较广 ,亳州,7.00,平,0.00%,0.00%,-12.50%
36, 陈皮 , 统丝 较广 ,亳州,9.00,平,0.00%,0.00%,-5.26%
37, 赤芍 , 野生 教广 ,亳州,45.00,平,0.00%,0.00%,-10.00%
38, 赤小豆 , 统 进口 ,亳州,8.00,平,0.00%,0.00%,-11.11%
39, 茺蔚子 , 统 较广 ,亳州,25.00,平,0.00%,0.00%,-40.48%
40, 楮实子 , 色选 较广 ,亳州,15.00,慢,0.00%,0.00%,-25.00%
41, 冬虫夏草 , 2000条.. ,亳州,160000.00,平,0.00%,0.00%,-23.81%
42, 冬虫夏草 , 3000条.. ,亳州,100000.00,平,0.00%,0.00%,-33.33%
43, 冬虫夏草 , 4000条.. ,亳州,85000.00,平,0.00%,0.00%,-34.62%
44, 花椒 , 统 陕西 ,亳州,45.00,平,0.00%,0.00%,12.50%
45, 苦楝皮 , 统 河南 ,亳州,3.00,平,0.00%,0.00%,0.00%
46, 川楝子 , 统个 云南 ,亳州,4.50,平,0.00%,0.00%,0.00%
47, 川楝子 , 统个 四川 ,亳州,4.00,平,0.00%,0.00%,0.00%
48, 川牛膝 , 统个 四川 ,亳州,15.00,平,0.00%,0.00%,-25.00%
49, 川贝母 , 松统 四川 ,亳州,3800.00,平,0.00%,0.00%,-15.56%
50, 川贝母 , 青统 四川 ,亳州,2900.00,平,0.00%,0.00%,-23.68%
51, 川芎 , 炕统个 四.. ,亳州,14.50,平,0.00%,0.00%,-21.62%
52, 穿破石 , 统 安徽 ,亳州,4.50,平,0.00%,0.00%,-10.00%
53, 番泻叶 , 统 进口 ,安国,7.00,平,0.00%,0.00%,0.00%
54, 降香 , 下脚料 海.. ,亳州,200.00,平,0.00%,0.00%,-23.08%
55, 大血藤 , 统片 ,亳州,7.00,平,0.00%,0.00%,0.00%
56, 金果榄 , 统 西南 ,亳州,150.00,平,0.00%,0.00%,-31.82%
57, 天花粉 , 统片 河北 ,安国,26.00,平,0.00%,0.00%,8.33%
58, 天葵子 , 统 较广 ,安国,75.00,平,0.00%,0.00%,-16.67%
59, 壁虎 , 统 较广 ,安国,2200.00,平,0.00%,0.00%,-12.00%
60, 穿心莲 , 全草 广西 ,亳州,5.50,平,0.00%,-26.67%,-26.67%
61, 穿心莲 , 全叶 广西 ,亳州,10.00,平,0.00%,-23.08%,-23.08%
62, 垂盆草 , 统 较广 ,亳州,13.00,平,0.00%,0.00%,-13.33%
63, 椿皮 , 干皮统 较.. ,亳州,2.50,平,0.00%,0.00%,0.00%
64, 椿皮 , 根皮统 较.. ,亳州,8.50,慢,0.00%,0.00%,0.00%
65, 刺五加 , 根 东北 ,亳州,22.00,平,0.00%,0.00%,-8.33%
66, 大风子 , 统 较广 ,亳州,40.00,平,0.00%,0.00%,81.82%
67, 大腹皮 , 软统 进口 ,亳州,6.50,慢,0.00%,0.00%,-7.14%
68, 大黄 , 家种马蹄 .. ,亳州,25.00,平,0.00%,0.00%,-10.71%
69, 大蓟 , 统 较广 ,亳州,4.00,平,0.00%,0.00%,0.00%
70, 萹蓄 , 统个 较广 ,亳州,3.00,慢,0.00%,0.00%,0.00%
71, 绵萆薢 , 丝 较广 ,亳州,18.00,平,0.00%,0.00%,-18.18%
72, 大青叶 , 统 较广 ,亳州,3.00,平,0.00%,0.00%,0.00%
73, 金荞麦 , 统片 云南 ,亳州,14.00,平,0.00%,0.00%,-6.67%
74, 海金沙草 , 全草  较.. ,亳州,4.00,平,0.00%,0.00%,0.00%
75, 金银花 , 一级白花 .. ,亳州,90.00,平,0.00%,2.27%,-14.29%
76, 金银花 , 色青花 河.. ,亳州,100.00,平,0.00%,0.00%,-9.09%
77, 金银花 , 色青花 河.. ,亳州,110.00,平,0.00%,0.00%,-8.33%
78, 金樱子 , 统个 江西 ,亳州,15.00,平,0.00%,0.00%,-11.76%
79, 金樱子 , 肉 江西 ,亳州,40.00,平,0.00%,0.00%,-11.11%
80, 荆芥 , 全草 河北 ,亳州,6.50,平,0.00%,0.00%,0.00%
81, 荆芥穗 , 统 河北 ,亳州,50.00,平,0.00%,25.00%,42.86%
82, 九香虫 , 统 贵州 ,亳州,1300.00,平,0.00%,0.00%,-40.91%
83, 韭菜子 , 色选 较广 ,亳州,95.00,平,0.00%,11.76%,82.69%
84, 救必应 , 统 进口 ,亳州,15.00,慢,0.00%,0.00%,0.00%
85, 桔梗 , 去皮包过检.. ,亳州,29.00,平,0.00%,0.00%,-19.44%
86, 桔梗 , 带皮统个 .. ,亳州,19.00,平,0.00%,0.00%,-32.14%
87, 桔梗 , 去皮包过检.. ,亳州,30.00,平,0.00%,0.00%,0.00%
88, 橘核 , 统 较广 ,亳州,12.00,平,0.00%,0.00%,0.00%
89, 菊花 , 杭菊朵菊统.. ,亳州,65.00,缺,0.00%,0.00%,-7.14%
90, 菊花 , 贡菊朵菊统.. ,亳州,100.00,平,0.00%,0.00%,-16.67%
91, 菊花 , 亳菊统 安.. ,亳州,30.00,平,0.00%,0.00%,0.00%
92, 橘络 , 统 湖北 ,亳州,170.00,平,0.00%,0.00%,0.00%
93, 卷柏 , 带根统 较.. ,亳州,20.00,慢,0.00%,0.00%,0.00%
94, 炉甘石 , 统块 较广 ,亳州,35.00,平,0.00%,0.00%,0.00%
95, 鹿角胶 , 老君堂 河.. ,亳州,980.00,平,0.00%,0.00%,-2.00%
96, 鹿角霜 , 统 东北 ,亳州,100.00,平,0.00%,11.11%,11.11%
97, 鹿衔草 , 统货 东北 ,亳州,18.00,平,0.00%,0.00%,-25.00%
98, 路路通 , 去刺统 较.. ,亳州,5.00,慢,0.00%,0.00%,-9.09%
99, 路路通 , 带刺统 较.. ,亳州,3.80,慢,0.00%,0.00%,-5.00%
